Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C18, C5, C6, C9",0402,10,100nF,C1525
"C16, C17, C4, C8",0402,4,1uF,C52923
"C19, C20",0402,2,0.1uF, C1525
"C2, C3",0402,2,22pF,C1555
C7,0402,1,10uF,C15525
D1,D_SOD-323,1,1N4148WS,C81598
"D2, D3",0603,2,LED,
F1,1206,1,500mA,C70077
J1,PinHeader_1x04_P1.00mm_Vertical,1,B4B-PH-K-S_LF__SN_,B4B-PH-K-S(LF)(SN)
"R1, R13",0402,2,1K,
"R10, R8, R9",0402,3,220,C25091
"R11, R2, R7",0402,3,1k,C11702
R12,0603,1,470,C17710 
"R3, R4",0402,2,5k1,C25905
"R5, R6",0603,2,27R,C25190
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U5,SOT-23-5,1,SN74LVC1G07DBVR,C7829
U6,W25Q16JVUXIQ,1,W25Q16JVUXIQ TR,C2843335
U7,tlp2362,1,TLP2362TPR_E,C37658
UNK1,USB-C-SMD_XKB_U261-24XN-4BC2SS,1,USB-C-SMD_XKB_U261-24XN-4BC2SS,C2938597
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
